time,X005,X405,X1105
72.50000000000,0.7028099903,0.2411301713E-01,0.8969402707E-02
73.00000000000,0.7028099909,0.2411301765E-01,0.8969403225E-02
73.50000000000,0.7028099914,0.2411301816E-01,0.8969403737E-02
74.00000000000,0.7028099919,0.2411301866E-01,0.8969404241E-02
74.50000000000,0.7028099924,0.2411301916E-01,0.8969404739E-02
75.00000000000,0.7028099929,0.2411301965E-01,0.8969405230E-02
75.50000000000,0.7028099933,0.2411302014E-01,0.8969405715E-02
76.00000000000,0.7028099938,0.2411302062E-01,0.8969406194E-02
76.50000000000,0.7028099943,0.2411302109E-01,0.8969406666E-02
77.00000000000,0.7028099948,0.2411302155E-01,0.8969407133E-02
77.50000000000,0.7028099952,0.2411302201E-01,0.8969407593E-02
78.00000000000,0.7028099957,0.2411302247E-01,0.8969408048E-02
78.50000000000,0.7028099961,0.2411302292E-01,0.8969408497E-02
79.00000000000,0.7028099966,0.2411302336E-01,0.8969408940E-02
79.50000000000,0.7028099970,0.2411302380E-01,0.8969409378E-02
80.00000000000,0.7028099974,0.2411302423E-01,0.8969409811E-02
80.50000000000,0.7028099979,0.2411302466E-01,0.8969410238E-02
81.00000000000,0.7028099983,0.2411302508E-01,0.8969410661E-02
81.50000000000,0.7028099987,0.2411302550E-01,0.8969411078E-02
82.00000000000,0.7028099991,0.2411302591E-01,0.8969411491E-02
82.50000000000,0.7028099995,0.2411302632E-01,0.8969411898E-02
83.00000000000,0.7028099999,0.2411302672E-01,0.8969412301E-02
83.50000000000,0.7028100003,0.2411302712E-01,0.8969412700E-02
84.00000000000,0.7028100007,0.2411302752E-01,0.8969413093E-02
84.50000000000,0.7028100011,0.2411302791E-01,0.8969413483E-02
85.00000000000,0.7028100015,0.2411302829E-01,0.8969413867E-02
85.50000000000,0.7028100019,0.2411302867E-01,0.8969414248E-02
86.00000000000,0.7028100023,0.2411302905E-01,0.8969414624E-02
86.50000000000,0.7028100026,0.2411302942E-01,0.8969414997E-02
87.00000000000,0.7028100030,0.2411302979E-01,0.8969415365E-02
87.50000000000,0.7028100034,0.2411303015E-01,0.8969415729E-02
88.00000000000,0.7028100037,0.2411303051E-01,0.8969416089E-02
88.50000000000,0.7028100041,0.2411303087E-01,0.8969416446E-02
89.00000000000,0.7028100044,0.2411303122E-01,0.8969416798E-02
89.50000000000,0.7028100048,0.2411303157E-01,0.8969417147E-02
90.00000000000,0.7028100051,0.2411303192E-01,0.8969417493E-02
90.50000000000,0.7028100055,0.2411303226E-01,0.8969417834E-02
91.00000000000,0.7028100058,0.2411303260E-01,0.8969418172E-02
91.50000000000,0.7028100061,0.2411303293E-01,0.8969418507E-02
92.00000000000,0.7028100065,0.2411303326E-01,0.8969418838E-02
92.50000000000,0.7028100068,0.2411303359E-01,0.8969419166E-02
93.00000000000,0.7028100071,0.2411303391E-01,0.8969419491E-02
93.50000000000,0.7028100074,0.2411303424E-01,0.8969419812E-02
94.00000000000,0.7028100078,0.2411303455E-01,0.8969420130E-02
94.50000000000,0.7028100081,0.2411303487E-01,0.8969420446E-02
95.00000000000,0.7028100084,0.2411303518E-01,0.8969420757E-02
95.50000000000,0.7028100087,0.2411303549E-01,0.8969421066E-02
96.00000000000,0.7028100090,0.2411303580E-01,0.8969421372E-02
96.50000000000,0.7028100093,0.2411303610E-01,0.8969421675E-02
97.00000000000,0.7028100096,0.2411303640E-01,0.8969421976E-02
97.50000000000,0.7028100099,0.2411303670E-01,0.8969422273E-02
98.00000000000,0.7028100102,0.2411303699E-01,0.8969422567E-02
98.50000000000,0.7028100105,0.2411303728E-01,0.8969422859E-02
99.00000000000,0.7028100108,0.2411303757E-01,0.8969423148E-02
99.50000000000,0.7028100111,0.2411303786E-01,0.8969423434E-02
100.0000000000,0.7028100113,0.2411303814E-01,0.8969423718E-02
100.5000000000,0.7028100116,0.2411303842E-01,0.8969423999E-02
101.0000000000,0.7028100119,0.2411303870E-01,0.8969424278E-02
101.5000000000,0.7028100122,0.2411303898E-01,0.8969424554E-02
102.0000000000,0.7028100125,0.2411303925E-01,0.8969424827E-02
102.5000000000,0.7028100127,0.2411303952E-01,0.8969425098E-02
103.0000000000,0.7028100130,0.2411303979E-01,0.8969425367E-02
103.5000000000,0.7028100133,0.2411304006E-01,0.8969425633E-02
104.0000000000,0.7028100135,0.2411304032E-01,0.8969425897E-02
104.5000000000,0.7028100138,0.2411304058E-01,0.8969426159E-02
105.0000000000,0.7028100140,0.2411304084E-01,0.8969426419E-02
105.5000000000,0.7028100143,0.2411304110E-01,0.8969426676E-02
106.0000000000,0.7028100146,0.2411304136E-01,0.8969426931E-02
106.5000000000,0.7028100148,0.2411304161E-01,0.8969427184E-02
107.0000000000,0.7028100151,0.2411304186E-01,0.8969427434E-02
107.5000000000,0.7028100153,0.2411304211E-01,0.8969427683E-02
108.0000000000,0.7028100156,0.2411304235E-01,0.8969427929E-02
108.5000000000,0.7028100158,0.2411304260E-01,0.8969428174E-02
109.0000000000,0.7028100160,0.2411304284E-01,0.8969428416E-02
109.5000000000,0.7028100163,0.2411304308E-01,0.8969428657E-02
110.0000000000,0.7028100165,0.2411304332E-01,0.8969428895E-02
110.5000000000,0.7028100168,0.2411304356E-01,0.8969429132E-02
111.0000000000,0.7028100170,0.2411304379E-01,0.8969429366E-02
111.5000000000,0.7028100172,0.2411304402E-01,0.8969429599E-02
112.0000000000,0.7028100175,0.2411304425E-01,0.8969429830E-02
112.5000000000,0.7028100177,0.2411304448E-01,0.8969430059E-02
113.0000000000,0.7028100179,0.2411304471E-01,0.8969430286E-02
113.5000000000,0.7028100181,0.2411304494E-01,0.8969430511E-02
114.0000000000,0.7028100184,0.2411304516E-01,0.8969430735E-02
114.5000000000,0.7028100186,0.2411304538E-01,0.8969430957E-02
115.0000000000,0.7028100188,0.2411304560E-01,0.8969431177E-02
115.5000000000,0.7028100190,0.2411304582E-01,0.8969431395E-02
116.0000000000,0.7028100192,0.2411304604E-01,0.8969431612E-02
116.5000000000,0.7028100195,0.2411304625E-01,0.8969431827E-02
117.0000000000,0.7028100197,0.2411304647E-01,0.8969432040E-02
117.5000000000,0.7028100199,0.2411304668E-01,0.8969432252E-02
118.0000000000,0.7028100201,0.2411304689E-01,0.8969432462E-02
118.5000000000,0.7028100203,0.2411304710E-01,0.8969432671E-02
119.0000000000,0.7028100205,0.2411304730E-01,0.8969432878E-02
119.5000000000,0.7028100207,0.2411304751E-01,0.8969433084E-02
120.0000000000,0.7028100209,0.2411304771E-01,0.8969433288E-02
